train.b from model k = 3

Score_z,Attendance_z,Decision
0.8484468,1.9426913,Acceptable
-1.8383015,-0.8430547,Not-Acceptable
1.1842904,-0.8430547,Acceptable
-1.5024579,-0.8430547,Not-Acceptable
0.5126033,-0.1466182,Acceptable
-1.5024579,1.9426913,Acceptable
-1.8383015,0.5498183,Not-Acceptable
1.5201339,-0.1466182,Acceptable
1.1842904,1.2462548,Acceptable
-0.1590838,-1.5394913,Acceptable
-1.5024579,-0.1466182,Not-Acceptable
1.8559774,1.2462548,Acceptable
-0.8307709,-0.1466182,Not-Acceptable
0.5126033,0.5498183,Acceptable
0.1767598,-0.1466182,Acceptable










































Standardised and new predictions from 6 observations
Score_z,Attendance_z,Decision
0.8661454,0.5976143,Acceptable
1.4131846,-1.1952286,Not-Acceptable
-0.2279330,1.1952286,Acceptable
-1.0484918,0.0000000,Not-Acceptable
0.0455866,-0.5976143,Not-Acceptable
-1.0484918,1.1952286,Acceptable
