"","Price","Age_08_04","KM","HP","Met_Color","Automatic","CC","Doors","Quarterly_Tax","Weight","pred.test"
"21",15950,30,67660,110,1,0,1600,3,85,1105,14905.834077105
"23",15950,28,56349,110,1,0,1600,3,85,1120,15760.4936626385
"25",16250,29,25813,110,1,0,1600,3,85,1120,16174.6634020297
"34",14950,26,32692,97,1,0,1400,3,85,1100,15995.7518260961
"35",15500,22,41000,97,1,0,1400,3,85,1100,16304.0653484607
"58",15250,26,43000,97,0,0,1400,5,85,1110,15845.1863364984
"61",14950,22,37400,97,1,0,1400,5,85,1110,16393.5743116798
"63",18750,31,36544,110,1,0,1600,5,85,1130,15790.9347685532
"65",17950,27,32809,97,1,0,1400,5,85,1110,15908.1686483257
"66",16950,26,32181,110,1,0,1600,5,19,1075,14841.2100369463
"67",18950,28,30993,110,1,0,1600,5,85,1130,16225.5461831975
"68",14950,22,30400,97,1,0,1400,5,85,1110,16514.4055720851
"75",19950,28,28000,110,0,0,1600,5,85,1130,16277.2101778251
"76",16950,23,28000,110,1,0,1600,5,85,1115,16408.3118394979
"87",14900,30,7000,97,1,0,1400,5,85,1100,15725.846582365
"89",15950,19,51884,97,1,0,1400,3,85,1100,16454.9822252818
"94",15950,20,33329,97,1,0,1400,3,85,1100,16662.3406316848
"95",18900,20,31850,110,0,0,1600,3,85,1120,17086.8317461628
"98",15950,19,25948,97,1,0,1400,3,85,1100,16902.6793066922
"100",17450,18,23902,97,1,0,1400,3,85,1100,17050.9272996621
"108",17450,17,10000,97,1,0,1400,3,85,1100,17403.8289245414
"109",17950,20,7187,110,1,0,1600,3,85,1105,17079.0027528895
"121",18950,13,57037,110,0,0,1600,5,85,1115,17036.3939268706
"127",15950,20,36000,110,1,0,1600,5,19,1075,15452.8724038765
"133",16250,19,29441,97,1,0,1400,5,85,1110,16869.7516799035
"143",19950,13,21428,110,1,0,1600,5,85,1130,18084.6145954512
"153",18450,10,13747,97,1,0,1400,5,85,1110,18157.0320411607
"154",19500,12,13634,110,1,0,1600,5,85,1115,17898.5302679239
"161",18950,16,11000,110,1,0,1600,4,85,1105,17334.0734431536
"163",19600,9,7650,110,1,0,1600,5,85,1115,18340.6159591047
"165",17650,11,6155,97,1,0,1400,5,85,1110,18175.1514321604
"167",19950,14,5459,110,1,0,1600,5,85,1130,18247.3344819388
"171",18245,9,1,110,1,0,1600,5,19,1075,17316.511211781
"173",19500,8,10077,97,1,0,1400,5,85,1110,18446.2436282589
"175",21950,8,9788,110,1,0,1600,5,85,1130,18850.193428468
"180",22500,6,3000,110,0,0,1600,5,85,1130,19193.2267112725
"182",18700,7,450,97,1,0,1400,5,85,1110,18725.3518762478
"201",11495,44,96829,110,1,0,1600,5,85,1075,11692.5282114201
"205",12950,43,89968,69,1,0,1900,5,185,1140,11987.3036833786
"206",11500,44,89757,110,1,0,1600,3,69,1045,11209.1657396285
"209",11450,41,84312,110,0,0,1600,5,85,1080,12391.9013407425
"214",11450,40,78425,110,1,0,1600,5,85,1075,12461.9338234915
"216",10950,33,77321,110,1,0,1600,5,85,1075,13271.5058314182
"217",13500,33,75699,69,0,0,1900,3,185,1105,12612.9630770689
"219",10950,44,74846,97,1,0,1400,3,69,1025,11067.5923905853
"223",11950,40,73042,110,1,0,1598,5,85,1075,12559.9675257784
"225",12450,35,71200,110,1,0,1600,5,85,1075,13151.3026544098
"226",12950,38,67805,110,1,0,1600,5,85,1075,12871.1135905636
"227",11950,35,65988,110,1,0,1600,3,69,1040,12491.3162416014
"228",11690,34,65345,97,1,0,1400,5,85,1060,13110.8562682999
"229",12450,42,64564,110,1,0,1600,5,85,1080,12619.8528462404
"233",11950,42,61300,97,1,0,1400,3,69,1030,11671.7969734731
"239",13950,44,59000,110,0,1,1600,5,85,1110,13357.1390470226
"241",10950,38,58798,110,1,0,1600,5,85,1075,13026.588899488
"249",13500,43,55539,110,1,0,1600,5,85,1085,12807.225471372
"251",11750,33,55350,110,0,0,1600,5,85,1075,13650.7606346133
"254",14950,42,53719,110,1,1,1600,5,85,1105,13529.6417366564
"255",9940,39,53644,110,1,0,1600,5,19,1075,13002.6244886493
"265",12000,39,50000,97,1,0,1400,5,85,1060,12811.0819441456
"266",11950,38,49500,110,1,0,1600,5,85,1075,13187.0873365236
"267",12495,44,49332,110,1,0,1600,5,85,1080,12656.9201854538
"272",12950,38,48197,110,1,0,1600,5,85,1075,13209.5792125676
"275",13500,43,48000,110,1,0,1600,5,85,1075,12648.3260408962
"280",14990,38,46327,110,1,0,1600,3,85,1055,12925.4565506186
"286",12950,39,45081,110,1,0,1600,5,85,1075,13150.4356433423
"287",11700,40,44830,110,1,0,1600,5,85,1075,13041.837565394
"289",11895,44,44218,97,1,0,1400,5,85,1060,12346.2348566691
"291",12500,36,43427,110,1,0,1600,3,69,1040,12767.8246521736
"293",10500,35,43000,110,0,0,1600,3,69,1050,13177.160798705
"294",12295,33,42823,110,1,0,1600,5,85,1075,13866.996805913
"295",13950,42,42560,110,1,0,1600,5,85,1080,12999.6772825203
"296",10950,38,41754,110,0,0,1600,3,69,1040,12570.8418399819
"297",12950,44,41499,110,1,0,1600,5,197,1103,13456.9101710919
"300",13750,39,40000,110,1,0,1600,3,85,1055,12921.7400067021
"302",12500,41,39659,110,1,0,1600,3,69,1045,12412.7300338838
"307",9950,44,39000,97,1,0,1400,3,69,1025,11686.3520135125
"309",11450,37,38812,97,0,0,1400,3,69,1025,12480.1123879347
"310",12450,42,38665,110,1,0,1600,5,85,1075,12922.3938991653
"312",13995,44,38461,110,1,0,1600,5,85,1080,12844.5711328634
"323",13950,37,36074,110,1,1,1600,5,19,1075,13531.7724356953
"324",11250,44,36066,110,1,0,1600,3,69,1040,11991.44141958
"328",12950,33,33591,110,1,0,1600,5,85,1075,14026.355976779
"332",13950,35,32941,110,1,0,1600,5,85,1080,13956.2318879257
