Visit_Number,Primary_Description
236690091,32OZ SOFT DRINK
236690092,P225/70R15 100S LTRA
236690093,PIZZA SLICE/DRINK
236690094,12OZ FLAVORED COFFEE
236690095,POLAND SPRING WATER
236690095,SAM-E
236690095,TIDY CAT
236690096,DELUXE HEALTH GRILL
236690097,SOFT DRINK 20 OZ.
236690098,POLISH DOG/CHIPS
236690099,PIZZA-BY-THE-SLICE
236690100,32OZ SOFT DRINK
236690101,2LTR 4PK DEPOSIT
236690101,ALL NATURAL
236690101,COKE
236690101,COKE-MIX & MATCH
236690101,DEPOSIT
236690101,DEPOSIT 24 PK
236690101,DIET COKE
236690101,DR PEPPER
236690101,GINGER ALE
236690101,LIPTON TEA
236690101,PEPSI
236690101,PEPSI-ASSORT
236690101,SOBE VARIETY PACK
236690101,SPORTS BLAST
236690101,V-8 SPLASH VARIETY
236690103,BLUEBERRY MUFFINS
236690104,12OZ FLAVORED COFFEE
236690106,PIZZA SLICE/DRINK
236690107,AMERICAN PROC CHEESE
236690107,BREADED CHICKEN
236690107,BUTTERFLY SHRIMP
236690107,CHICKEN PATTIES
236690107,DILL CHIP 510-690 CT
236690107,"FRENCH FRIES 3/8"""
236690107,GROUND BEEF PATTIES
236690107,KING SIZE PRETZELS
236690107,SQUEEZE KETCHUP
236690111,CLICKSTER GRIP
236690113,ASSORTED COOKIES
236690113,CHEX MIX
236690113,FRUIT PUNCH
236690113,GLAD TRASH BAG 13GAL
236690113,M & M PLAIN
236690113,PETITE DANISH
236690115,3PK 100CT TEA BAGS
236690115,JIF CREAMY
236690115,SHELLED WALNUTS
236690116,"24#,700CT.-PRICED BY"
236690116,3PR MENS PATTERNED
236690116,ALL NATURAL
236690116,FRUIT ROLLUPS
236690116,SUPERBIG STD/QN
236690118,P195/75R14 92S XRAD
236690119,WILLOW BASKETS
236690120,MILKBONE DOG BISCUIT
236690120,TERIYAKI PORKLOIN
236690121,SNAPPLE DRINK VAR
236690121,TWIX KING SIZE
236690122,CHICKEN THIGHS
236690122,SPLIT CHICKEN BREAST
236690124,98%FATFREE CHICKEN
236690124,CATTLEMANS NATURAL
236690124,CHICKEN NOODLE SOUP
236690124,CUT GREEN BEANS
236690124,DEPOSIT
236690124,DIET PEPSI
236690124,EXTRA PEPPERMINT
236690125,ADVANTAGE PRIMARY
236690126,EXTRA FINE GRANULATD
236690126,MANDARIN ORANGES
236690127,BEEF LOIN
236690127,COCKTAIL SMOKIES
236690127,POTATO SKINS
236690127,SUPREME PIZZA
236690128,12OZ FLAVORED COFFEE
236690129,COLBY JACK CUBES
236690129,GO-GURT YOGURT
236690129,SLOW RECOVERY FOAM
236690129,ULTRA LIQUID ALL
236690130,BUTTER PORTIONS
236690130,BUTTER QUARTER
236690130,CUT GREEN BEANS
236690130,EXTRA FINE GRANULATD
236690130,FRESH SALMON FILLET
236690130,HEINZ FANCY KETCHUP
236690130,HOAGIE ROLLS
236690130,I CAN'T BELIEVE IT'S
236690130,MOZZARELLA LOAF
236690130,PEACH LATTICE
236690130,STRAWBERRY RHUBARB
236690130,WESSON VEGETABLE OIL
236690131,ADV PRIMARY
236690131,SAMS COUPON 17.50
236690132,P205/75R14
236690133,SOFT DRINK 20 OZ.
236690134,ADVANTAGE PRIMARY
236690135,4 PACK METAL
236690135,ENERGIZER C-10PK
236690136,* APPLE PIE *
236690136,DARK JUSTICE
236690136,SOUTHERN CROSS
236690136,THE TESTAMENT
236690139,SOFT DRINK 20 OZ.
236690140,PIZZA SLICE/DRINK
236690141,ADV PRIMARY
236690142,BONELESS SKINLESS
236690142,BROCCOLI NORMANDY
236690142,CUT GREEN BEANS
236690142,GROUND BEEF
236690142,IN SHELL PEANUT
236690142,PORK LOIN TOP LOIN
236690142,SPECIAL ROAST COFFEE
236690142,TIDE LIQUID W/BLEACH
236690143,PIZZA SLICE/DRINK
236690144,1/4 LB. COOKIE
236690144,32OZ SOFT DRINK
236690145,12OZ FLAVORED COFFEE
236690146,ALL NATURAL
236690146,CHEX MIX
236690146,FRENCH VAN CAPPUCINO
236690146,THOMAS 2 PACK ASST.
236690147,ADVANTAGE PRIMARY
236690148,* APPLE PIE *
236690148,2000 FARSIDE OFFWALL
236690148,2001 T. KINCADE
236690148,2LTR 4PK DEPOSIT
236690148,ADULT COUCH POUCH
236690148,APPLESAUCE
236690148,BREADED FISH STICKS
236690148,CUT CORN
236690148,HAWAII COFFEE 2# BAG
236690148,PEPSI-ASSORT
236690148,PIQUE FLEECE
236690148,RASPBERRY RUGALA
236690148,SCOTT NAPKINS
236690148,SMILES X-LG UNISEX
236690148,TERRY ONE PIECE
236690148,WAFFLES
236690148,WISE RIDGES POTATO
236690149,CHOCOLATE MUFFINS
236690150,BEEF LOIN
236690150,CANNED HAM
236690150,CRUSHED TOMATOES
236690150,OATMEAL RAISIN
236690151,1/2 SHT BUTRCREME
236690151,2LTR 4PK DEPOSIT
236690151,COKE-MIX & MATCH
236690151,FRUIT PUNCH
236690151,UPCHARGE
236690152,32OZ SOFT DRINK
236690153,ADV PRIMARY
236690153,ADV SECONDARY
236690154,SUPERBIG KING
236690155,SUPERBIG KING
236690156,KLEENEX 6PK 250 SHTS
236690156,MAGIC TAPE DISPENSER
236690156,MONTHLY DESK PAD
236690156,SCOTT NAPKINS
236690157,DINNERWARE FOR SIX
236690157,ENERGIZER D-10PK
236690158,BAYER GENUINE
236690158,CASCADE GEL
236690158,DAWN DISH DETERGENT
236690158,DOVE BATH SOAP
236690158,KLEENEX 8PK 95 SHTS
236690158,MOUNTAIN TRAIL MIX
236690158,NESTLE CRUNCH
236690158,SCOTTISSUE BATH
236690158,TRASHBAG 13GAL WHITE
236690158,ULTRA ALL LIQUID F/C
236690160,TREASURY TALES
236690162,ADV PRIMARY
236690163,BONELESS PORK LOIN
236690163,CARROT CAKE
236690164,BEEF&CHICKEN SKEWERS
236690164,BUFFALO HOT WINGS
236690164,TURTLE CHEESECAKE
236690166,40% REDUCED FAT
236690166,BOUNCE SINGLES 160CT
236690166,CASCADE POWDER
236690166,CHEERIOS CEREAL
236690166,CHEESE PIZZA
236690166,CHEESE RITZ BITS
236690166,DEPOSIT
236690166,DIET COKE
236690166,DOWNY LIQUID 120 OZ
236690166,FANCY CASHEWS
236690166,GOLDFISH CRACKERS
236690166,HOUSEBLEND COFFEE
236690166,KLEENEX 8PK 95 SHTS
236690166,ULTRA WISK
236690166,WESSON CANOLA OIL
236690166,WOOLITE LIQUID
236690167,PIZZA SLICE/DRINK
236690168,DOUG/MARTIAN
236690168,GIANT SLIM
236690168,PORK SPARERIBS
236690169,160 OZ SIMPLE GREEN
236690169,4PK MENS ATHLETIC
236690170,PRETZELS KING SIZE
236690171,2 PK FLASHLIGHT
236690172,ANTIBAC ULTRA DISH
236690172,BOUNCE SINGLES 160CT
236690172,CHICKEN AND CHEESE
236690172,HEAD & SHOULDERS
236690172,PERT PLUS
236690172,POTATO SKINS
236690172,SURF ULTRA
236690173,"24#,700CT.-PRICED BY"
236690173,55 WATT MISER
236690173,AUDIO TAPE XLII 90
236690173,BLANK VIDEO TAPE
236690173,TURBOTAX DELUXE 99
236690174,COMET 4PK/25 OZ
236690174,CRACKER JACKS
236690174,HUGGIES PULL-UPS SZ3
236690174,PAMPERS SIZE5 UNISEX
236690174,PREMIUM SALTINE
236690174,RANITIDINE 75MG
236690174,WHOLE FRYING
236690176,CALIFORNIA RAISINS
236690176,DELI-CAT
236690176,FOUR BEAN SALAD
236690176,KLEENEX 8PK 95 SHTS
236690176,LEVER 2000
236690176,MENTADENT REFILL W/
236690176,SCOTTISSUE BATH
236690176,TIDE LIQUID W/BLEACH
236690176,ZIPLOC CONTAINERS
236690177,ADV PRIMARY
236690178,PRETZELS KING SIZE
236690180,CHEESE BAGEL BITES
236690180,HORSERADISH
236690180,POPPERS CHEDDAR
236690182,JUMBO CHEESE BURGER
236690182,"SAUSAGE,EGG,CHEESE"
236690182,TATER TOTS
236690183,ALL NATURAL
236690183,BUGLES ORIGINAL
236690183,WISH-BONE DRESSING
236690184,CATTLEMANS NATURAL
236690184,CHERRY SORE THROAT
236690184,FRUIT BY FOOT
236690184,GIANT 32 CT.
236690184,ORANGE DRINK MIX
236690184,PLASTIC DISPLAY CASE
236690184,POTATO SKINS
236690184,SCOTTISSUE BATH
236690186,PISTACHIO MEATS
236690188,15WT FLUOR BULB 2PK
236690188,20X50 COTTON RAG RUG
236690188,5PKT JEAN-SZ.32
236690188,EXTENDED SERVICE
236690188,MR COFFEE
236690188,SPORTSMANS CHOICE
236690188,SURF ULTRA
236690189,SPORTSMANS CHOICE
236690190,ANGEL HAIR
236690190,BEEF BOLOGNA-SLICED
236690190,BEGGIN' STRIPS 36 OZ
236690190,BREADED CHICKEN
236690190,CHOCOLATE CHIP
236690190,CHUNK LIGHT TUNA
236690190,DOWNY LIQUID 120 OZ
236690190,FRUIT PUNCH
236690190,GELATIN SNACKS
236690190,GIANT SLIM
236690190,HERSHEY MINIATURES
236690190,HOAGIE ROLLS
236690190,LAY'S POTATO CHIPS
236690190,MILLENNIUM TWINKIE
236690190,MINI ECLAIRS
236690190,NESTEA INSTANT TEA
236690190,OLD WORLD SAUCE
236690190,PREMIUM SLICED HAM
236690190,PURINA DOG CHOW
236690190,RICE PUDDING  4 LB
236690190,SMALL RAWHIDE CHEWS
236690190,STEAK-UM WAFER
236690190,TWICE BAKED POTAOTES
236690190,ULTRA LIQUID ALL
236690191,PIZZA SLICE/DRINK
236690191,PIZZA-BY-THE-SLICE
236690191,PRETZELS KING SIZE
236690193,BROCCOLI & BEEF
236690193,ICE MELT BLENDED
236690193,ITALIAN MEATBALLS
236690193,MEAT LASAGNA
236690193,WEBSTERS NEW WORLD
236690194,3/4 SLV BBALL SHIRT
236690194,BONELESS SKINLESS
236690194,CREAM CHEESE
236690194,MIRACLE WHIP
236690194,TOASTER SCRAMBLES
236690194,TOASTER STRUDEL
236690194,UPCHARGE
236690195,QUICKEN DELUXE 2000
236690196,PORTAWATTZ POWER PAC
236690197,32OZ SOFT DRINK
236690197,PIZZA SLICE/DRINK
236690199,9 OZ SWEATSHIRT
236690199,BOUNTY PAPER TOWELS
236690199,MEOW MIX CAT FOOD
236690199,SCOTTISSUE BATH
236690200,CHEERIOS CEREAL
236690200,LADIES ZIP FRONT
236690200,POT ROAST
236690201,PIZZA SLICE/DRINK
236690202,FEBREZE 67.62 OZ.
236690202,JET DRY
236690202,SNUGGLE 200OZ
236690202,SQUEEZE KETCHUP
236690202,ULTRA LIQ.W/BLEACH
236690203,P215/70R14 96T XPII
236690204,ANTIBAC ULTRA DISH
236690204,CHEERIOS CEREAL
236690204,EX-LITE OLIVE OIL
236690204,FRISKIES BUFFET
236690204,PRO BASEBALL
236690204,SCOTT NAPKINS
236690204,TABASCO SAUCE
236690204,TRASHBAG 33GAL BLACK
236690205,SOFT DRINK 20 OZ.
236690206,DINNER FRANKS
236690206,EX-LITE OLIVE OIL
236690206,FAT FREE CHKN BROTH
236690206,SPECIAL ROAST COFFEE
236690206,WORCESTRSHIRE SAUCE
236690207,KLEENEX 8PK 175 SHTS
236690208,200 MINUTE PREPAID
236690209,BREADED CHICKEN
236690209,DAWN DISH DETERGENT
236690209,DOWNY MTN. SPRING
236690209,MICRO FLEECE PANT
236690209,POTATO SKINS
236690209,PREMIUM SALTINE
236690209,TIDE W/BLCH ULTRA 2
236690210,*COOKED SHRIMP 2LB
236690210,BABY'S FIRST PLAY 2P
236690210,BREWRITE COFFEE FLTR
236690210,MASTER BLEND COFFEE
236690210,MOZZARELLA CHEESE
236690210,SPECIAL ROAST COFFEE
236690211,*PARTY MIX BARREL
236690211,98%FATFREE CHICKEN
236690211,ASSORTED MUFFINS
236690211,BOUNTY PAPER TOWELS
236690211,BREADED CHICKEN
236690211,BUTTER QUARTERS
236690211,CHIPS AHOY 36 OZ
236690211,DELI-CAT
236690211,FANCY CASHEWS
236690211,GROUND BEEF
236690211,LEAN POCKETS
236690211,MILLENNIUM TWINKIE
236690211,OLD WORLD SAUCE
236690211,ORANGE JUICE
236690211,PLEDGE LEMON
236690211,PORK LOIN
236690211,REYNOLDS WRAP 2PK
236690211,SPECIAL ROAST COFFEE
236690211,SPLIT CHICKEN BREAST
236690211,SQUEEZE KETCHUP
236690211,STROEHMANN 22OZWHITE
236690213,MOZZARELLA CHEESE
236690213,VELVEETA      2-2LB
236690214,5-PACK FILTERS
236690214,BOUNCE SINGLES 160CT
236690214,POTATO SKINS
236690214,SCOTTISSUE BATH
236690214,TIDE LIQUID ULTRA
236690215,NATUREVALLEY GRANOLA
236690216,SOFT DRINK 20 OZ.
236690217,48 PACK WASH CLOTH
236690217,ASSORTED COOKIES
236690217,CREST TOOTHPASTE
236690217,VITAMIN E 400 IU
236690218,PIZZA SLICE/DRINK
236690218,PIZZA-BY-THE-SLICE
236690219,50 PK CDR SPINDLE
236690219,9 OZ SWEATPANT
236690219,BOUNCE SINGLES 160CT
236690219,BREATHE EASY VAC
236690219,ELECTRASOL TABS
236690219,FANTASTIK
236690219,WINDEX TWIN W/REFILL
236690221,BUTTER LOVER'S
236690221,CHEESE PIZZA
236690221,D'ITALIANO BREAD
236690221,DEPOSIT
236690221,DEPOSIT 24 PK
236690221,DILL CHIP 510-690 CT
236690221,DR PEPPER
236690221,GINGER ALE
236690221,GRATED PARMESAN
236690221,GROUND BEEF
236690221,HELLMAN'S MAYONAISE
236690221,MOZZARELLA PART SKIM
236690221,NYQUIL ORIGINAL
236690221,POLAND SPRING
236690221,RAGU SPAGHETTI SAUCE
236690221,SPLIT TOP BREAD
236690221,ULTRA LIQUID ALL
236690222,BUTTER LOVER'S
236690222,CHOCOLATE LOVERS
236690222,FRENCH TOAST STICKS
236690222,GOLDFISH CRACKERS
236690222,MOZZARELLA SHREDDED
236690222,PEPTO BISMOL
236690222,PRETZEL NUGGETS
236690223,GOLDEN EYE 007
236690225,APEX STAND GOLF BAG
236690226,PRETZELS KING SIZE
236690226,SOFT DRINK 20 OZ.
236690228,DJ 610CL PRINTER
236690228,HOYLE ENTERTAINMENT
236690229,CREST TOOTHPASTE
236690229,CUT CORN
236690229,CUT GREEN BEANS
236690229,HONEY BBQ WINGS
236690229,KLEENEX 6PK 250 SHTS
236690229,MIXED VEGETABLES
236690229,ULTRA LIQ.W/BLEACH
236690230,12OZ FLAVORED COFFEE
236690231,ANGELA'S ASHES MVIE-
236690231,FETA CHEESE
236690231,GRANOLA BARS
236690231,MEATLESS PATTIES
236690231,MEOW MIX CAT FOOD
236690231,METAB-O-LITE
236690231,MOIST & MEATY
236690231,RELAXATION FOUNTAINS
236690231,SECRET SHEER DRY
236690231,SPECIAL ROAST COFFEE
236690232,LARGE TAPERED TRUNK
236690234,PRETZELS KING SIZE
236690235,EX-LITE OLIVE OIL
236690235,PILE LINED GLOVE
236690235,PURINA DOG CHOW
236690235,RAISIN BRAN CRUNCH
236690235,SMALL RAWHIDE CHEWS
236690235,SPORTSMANS CHOICE
236690236,#NAME?
236690236,SOBE VARIETY PACK
236690236,STACKABLE SIDE CHAIR
236690237,5-PACK FILTERS
236690237,BIG RED PLEN-T-PAK
236690237,CENTRUM SILVER
236690237,PISTACHIO IN SHELL
236690239,50 PK CDR SPINDLE
236690239,MCSE EXAM GUIDES
236690240,CREST TOOTHPASTE
236690240,DELI-CAT
236690240,TIDY CAT
236690241,*RAW SHRIMP PEELED
236690241,ANTIBAC ULTRA DISH
236690241,BUTTER QUARTERS
236690241,PINEAPPLE ORANGE
236690241,SCOTT NAPKINS
236690241,ULTRA ALL LIQUID F/C
236690241,UNSALT INSHELL
236690241,WHOLE FRYING
236690242,40% REDUCED FAT
236690242,ANGELA'S ASHES MVIE-
236690242,BALSAMIC VINEGAR
236690242,BREADED CHICKEN
236690242,CRUSTY FRENCH BREAD
236690242,DK TRAVEL GUIDES
236690242,INTERNATIONAL ORCHRD
236690242,MOUNTAIN TRAIL MIX
236690242,STEAK & EGG
236690242,VEGGIE PATTIES
236690242,WORCESTRSHIRE SAUCE
236690243,SOFT DRINK 20 OZ.
236690244,CHICKEN THIGHS
236690244,CRUSTY FRENCH BREAD
236690244,EXTRA FINE GRANULATD
236690244,HONEY NUT CHEERIOS
236690244,LARGE EGGS 3 DOZEN
236690244,MOZZARELLA CHUNK
236690244,PORK COUNTRY RIBS
236690244,TOSTITOS SALSA
236690245,10' PRINTER CABLE
236690245,2PK. BLACK CART.
236690245,2PK. COLOR CART.
236690245,50 PK CDR SPINDLE
236690245,MULTIMEDIA SURGE
236690245,WAKEFORCE TOWABLE
236690246,5-PACK FILTERS
236690247,50-PK DISKETTES
236690248,160 OZ SIMPLE GREEN
236690248,BEGGIN' STRIPS 36 OZ
236690248,FRUIT ROLLUPS
236690248,ICE MELT BLENDED
236690248,NIAGRA STARCH 4P22OZ
236690248,RIGHT GUARD CLEAR
